old_name,new_name
北海道厚田郡厚田村,北海道石狩市
北海道浜益郡浜益村,北海道石狩市
北海道上磯郡上磯町,北海道北斗市
北海道亀田郡大野町,北海道北斗市
北海道亀田郡戸井町,北海道函館市
北海道亀田郡恵山町,北海道函館市
北海道亀田郡椴法華村,北海道函館市
北海道茅部郡南茅部町,北海道函館市
北海道茅部郡砂原町,北海道茅部郡森町
北海道山越郡八雲町,北海道二海郡八雲町
北海道爾志郡熊石町,北海道二海郡八雲町
北海道久遠郡大成町,北海道久遠郡せたな町
北海道瀬棚郡瀬棚町,北海道久遠郡せたな町
北海道瀬棚郡北檜山町,北海道久遠郡せたな町
北海道空知郡北村,北海道岩見沢市
北海道空知郡栗沢町,北海道岩見沢市
北海道上川郡朝日町,北海道士別市
北海道上川郡風連町,北海道名寄市
北海道枝幸郡歌登町,北海道枝幸郡枝幸町
北海道網走郡東藻琴村,北海道網走郡大空町
北海道網走郡女満別町,北海道網走郡大空町
北海道常呂郡端野町,北海道北見市
北海道常呂郡留辺蕊町,北海道北見市
北海道常呂郡常呂町,北海道北見市
北海道紋別郡生田原町,北海道紋別郡遠軽町
北海道紋別郡丸瀬布町,北海道紋別郡遠軽町
北海道紋別郡白滝村,北海道紋別郡遠軽町
北海道紋別郡上湧別町,北海道紋別郡湧別町
北海道虻田郡虻田町,北海道虻田郡洞爺湖町
北海道虻田郡洞爺村,北海道虻田郡洞爺湖町
北海道有珠郡大滝村,北海道伊達市
北海道勇払郡早来町,北海道勇払郡安平町
北海道勇払郡追分町,北海道勇払郡安平町
北海道勇払郡鵡川町,北海道勇払郡むかわ町
北海道勇払郡穂別町,北海道勇払郡むかわ町
北海道沙流郡門別町,北海道沙流郡日高町
北海道静内郡静内町,北海道日高郡新ひだか町
北海道三石郡三石町,北海道日高郡新ひだか町
北海道広尾郡忠類村,北海道中川郡幕別町
北海道阿寒郡阿寒町,北海道釧路市
北海道白糠郡音別町,北海道釧路市
青森県東津軽郡蟹田町,青森県東津軽郡外ケ浜町
青森県東津軽郡平舘村,青森県東津軽郡外ケ浜町
青森県東津軽郡三厩村,青森県東津軽郡外ケ浜町
青森県西津軽郡木造町,青森県つがる市
青森県西津軽郡森田村,青森県つがる市
青森県西津軽郡岩崎村,青森県西津軽郡深浦町
青森県西津軽郡柏村,青森県つがる市
青森県西津軽郡稲垣村,青森県つがる市
青森県西津軽郡車力村,青森県つがる市
青森県中津軽郡岩木町,青森県弘前市
青森県中津軽郡相馬村,青森県弘前市
青森県南津軽郡尾上町,青森県平川市
青森県南津軽郡浪岡町,青森県青森市
青森県南津軽郡平賀町,青森県平川市
青森県南津軽郡常盤村,青森県南津軽郡藤崎町
青森県南津軽郡碇ケ関村,青森県平川市
青森県北津軽郡金木町,青森県五所川原市
青森県北津軽郡中里町,青森県北津軽郡中泊町
